Year,All fields,Total,Biological and agricultural sciences,Earth atmospheric and ocean sciences,Comp,Physical sciences,Psychology,Social sciences,Engineering,Non-S&E fields
1966,42.6,24.8,25.0,9.4,33.2,14.0,40.8,34.3,0.4,52.2
1967,42.3,25.4,24.5,10.2,34.1,13.9,40.0,34.7,0.5,51.7
1968,43.5,27.1,24.8,10.0,36.7,14.3,42.3,35.8,0.6,52.6
1969,43.8,27.8,24.4,10.0,36.6,14.3,43.1,36.5,0.8,52.6
1970,43.2,28.0,24.1,10.2,36.1,14.5,43.6,36.6,0.8,51.5
1971,43.5,28.9,24.1,10.8,36.0,14.7,44.7,37.6,0.8,51.2
1972,43.7,29.4,24.4,12.2,35.9,15.8,46.4,37.0,1.1,51.1
1973,43.9,29.9,25.2,12.2,36.3,15.8,47.8,37.0,1.2,51.3
1974,44.4,31.4,27.0,15.9,36.6,16.8,50.5,37.6,1.6,51.1
1975,45.4,32.8,29.2,17.0,37.0,18.8,52.7,38.5,2.1,51.8
1976,45.6,33.6,31.2,18.3,35.3,19.5,54.4,38.8,3.4,51.5
1977,46.2,34.6,32.9,20.8,36.1,19.9,56.7,40.3,4.9,51.9
1978,47.2,35.5,35.2,21.6,35.7,21.5,58.9,41.6,7.4,52.9
1979,48.3,36.3,37.1,22.8,35.9,22.6,61.3,42.9,9.1,54.1
1980,49.2,37.2,39.1,23.8,36.4,24.0,63.3,44.8,10.1,54.9
1981,49.9,37.8,41.1,24.9,36.9,24.7,65.1,45.4,11.1,55.7
1982,50.5,38.5,42.3,25.6,37.9,26.2,66.9,46.2,12.3,56.3
1983,50.7,38.8,43.8,25.3,38.9,28.5,67.6,46.3,13.3,56.4
1984,50.7,38.6,44.4,24.4,39.3,29.4,67.9,45.6,14.1,56.6
1985,50.9,38.8,45.1,24.6,39.5,29.7,68.2,45.8,14.5,57.0
1986,51.0,39.0,45.5,22.3,38.8,29.8,69.0,45.6,14.5,57.1
1987,51.7,39.7,46.1,22.6,38.2,30.2,69.0,45.8,15.3,57.6
1988,52.2,40.6,47.7,23.8,36.9,32.1,70.1,45.8,15.4,57.6
1989,52.7,41.3,47.6,25.2,35.9,30.9,70.8,46.2,15.2,57.8
1990,53.3,42.5,48.2,27.9,35.8,32.2,71.5,46.3,15.4,58.1
1991,54.1,43.9,48.7,28.7,36.1,32.4,72.6,47.2,15.5,58.5
1992,54.3,44.9,49.3,32.0,35.6,33.1,73.2,47.8,15.6,58.5
1993,54.4,45.3,48.9,30.0,35.4,33.6,73.2,48.2,15.9,58.5
1994,54.6,45.8,48.9,31.1,35.2,34.6,73.1,49.0,16.5,58.7
1995,54.8,46.5,49.7,34.0,35.1,35.5,73.0,49.8,17.3,58.7
1996,55.2,47.1,50.2,33.3,33.9,37.0,73.0,50.8,17.9,59.2
1997,55.7,48.1,51.6,34.5,33.6,38.5,73.9,51.8,18.4,59.4
1998,56.2,48.7,52.7,37.0,32.9,39.2,74.4,52.5,18.6,59.8
2000,57.3,50.4,55.8,40.0,32.7,41.1,76.5,54.2,20.5,60.5
2001,57.4,50.6,57.3,40.9,31.9,41.8,77.5,54.8,20.1,60.5
2002,57.6,50.8,58.6,42.7,31.4,42.7,77.5,54.8,20.9,60.7
2003,57.6,50.4,59.7,41.8,30.4,41.7,77.7,54.7,20.3,61.1
2004,57.6,50.3,60.1,42.2,29.0,42.2,77.8,54.5,20.5,61.0
2005,57.5,50.3,59.9,41.9,27.0,42.8,77.8,54.2,20.0,61.0
2006,57.6,50.3,59.8,41.3,26.6,42.4,77.4,53.7,19.5,61.1
2007,57.5,50.2,58.6,41.2,25.4,41.1,77.4,53.8,18.5,60.8
2008,57.4,50.3,58.2,40.7,25.3,41.3,77.1,53.5,18.5,60.6
2009,57.3,50.4,58.2,38.9,25.3,41.5,77.2,53.6,18.1,60.4
2010,57.2,50.3,57.8,39.3,25.6,41.3,77.1,53.7,18.4,60.4


